Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC
2000-01-03,27.29248809814453,6.671639442443848,,18.25,,1.2356278896331787,16.145748138427734,15.5,,29.24850082397461,24.03350067138672,5.491572380065918,44.6945915222168,18.50519371032715,321.25,7.841007709503174,5.646313667297362,15.606757164001465,7.375,,,29.73806953430176,,2.519768476486206,14.693352699279785,,,1.967849373817444,89.375,12.248319625854492,,12.864971160888672,34.74608612060547,1033.1435546875,25.62356948852539,,,3.037083625793457,1.848915100097656,52.27119064331055,3.720548391342163,13.43682861328125
2000-01-04,26.208023071289066,6.481019973754883,,17.8125,,1.1980422735214231,14.791295051574707,14.625,,28.08864974975586,22.112451553344727,5.345844268798828,41.28041458129883,17.94122314453125,300.0,7.742998123168945,5.646313667297362,15.263405799865724,6.9375,,,28.78220176696777,,2.519768476486206,14.224422454833984,,,1.9835917949676516,81.9375,12.248319625854492,,13.018425941467285,33.43414306640625,980.3370361328124,25.35039710998535,,,2.829732179641724,1.8428322076797483,48.27429580688477,3.592612743377685,13.462516784667967
2000-01-05,26.96714973449707,6.469106197357178,,18.0,,1.2027404308319092,15.083735466003418,15.0,,28.39122009277344,21.581100463867188,5.315165042877197,38.71977996826172,18.04697036743164,283.5,7.785000324249268,5.744338512420653,14.982486724853516,7.28125,,,29.31325340270996,,2.6431143283843994,14.84966278076172,,,1.97309684753418,69.75,12.722143173217773,,13.504380226135256,32.70315933227539,982.6660766601562,26.11528205871582,,,3.0492806434631348,1.8610783815383911,49.93533325195313,3.5130834579467773,13.668050765991213
2000-01-06,29.136089324951172,6.695466995239258,,18.03125,,1.1792494058609009,15.206868171691895,16.0,,28.61815071105957,22.235071182250977,5.422543525695801,37.2454833984375,19.245397567749023,236.125,7.791991710662843,5.940391540527344,14.701563835144045,7.75,,,29.73806953430176,,2.6431143283843994,14.771513938903807,,,1.9363644123077397,65.5625,12.674757957458494,,13.58110809326172,33.369430541992195,1012.6422729492188,25.84211349487305,,,3.28102707862854,1.848915100097656,50.76586532592773,3.4162673950195312,13.899279594421387
2000-01-07,29.7144832611084,6.766948699951173,,17.9375,,1.2121368646621704,15.945663452148438,16.25,,29.1728572845459,22.76642799377441,5.529920101165772,40.349281311035156,20.58482551574707,248.375,8.079037666320799,5.842366695404053,14.982486724853516,8.25,,,31.809125900268555,,2.6783559322357178,15.318607330322266,,,1.9888399839401243,69.5625,12.864286422729492,,13.760140419006348,33.855262756347656,1088.4349365234377,27.262603759765625,,,3.707926034927368,1.873242139816284,56.47574234008789,3.4508442878723145,14.233274459838867
2000-01-10,29.56989479064941,6.71929407119751,,20.5,,1.2732136249542236,16.561328887939453,17.5,,30.48400115966797,23.33864974975586,5.200118541717528,42.79351043701172,19.31589126586914,285.5,7.939021110534668,5.822762966156006,15.169767379760742,8.28125,,,32.97740936279297,,2.6842291355133057,14.966901779174805,,,2.015077352523804,69.1875,12.769527435302734,,13.708992004394533,34.32720184326172,1069.176513671875,29.66652107238769,,,3.805503845214844,1.9340620040893557,59.90164566040039,3.613358736038208,13.847895622253418
2000-01-11,29.063783645629886,6.62398624420166,,19.8125,,1.329591989517212,15.42234992980957,17.25,,30.635290145874023,23.25690460205078,5.092741966247559,42.21154403686523,18.434694290161133,278.4375,7.939021110534668,5.803158760070801,15.200980186462402,7.5,,,32.76498413085937,,2.6783559322357178,14.927825927734375,,,2.0255730152130127,66.75,12.74583339691162,,13.760140419006348,34.64646530151367,1051.78125,31.906532287597656,,,3.9274749755859375,1.879324436187744,55.17803955078125,3.699803590774536,13.796509742736815
2000-01-12,29.136089324951172,6.564474105834961,,19.59375,,1.2732136249542236,15.345394134521484,18.125,,31.26564216613769,23.297780990600586,5.008374214172363,41.35801696777344,18.751924514770508,254.0,7.7149901390075675,5.842366695404053,14.982486724853516,7.40625,,,34.78292465209961,,2.70772385597229,15.005974769592285,,,2.0360679626464844,63.5625,12.81690502166748,,13.862446784973145,34.466007232666016,1083.4654541015623,33.217761993408196,,,3.9274749755859375,1.8854060173034668,52.79026794433594,4.211550235748291,13.719432830810547
2000-01-13,29.136089324951172,6.5042476654052725,,21.0,,1.2873080968856812,16.161148071289062,18.875,,31.79513740539551,24.48310470581055,5.123421669006348,41.978759765625,18.61093521118164,232.8125,7.700993061065674,5.920790195465088,15.044914245605467,8.71875,,,35.4732780456543,,2.7312180995941158,15.513999938964846,,,2.057058811187744,65.9375,12.864286422729492,,13.836874008178713,34.64646530151367,1113.2850341796877,32.34360885620117,,,4.622711181640625,1.8610783815383911,55.48947525024414,4.156227111816406,13.899279594421387
2000-01-14,28.720378875732425,6.648788928985597,,21.375,,1.2732136249542236,16.330451965332028,20.1875,,33.58535003662109,25.01445388793945,5.269147872924805,42.4443244934082,18.25844955444336,230.0,7.658987045288086,5.803158760070801,15.138558387756348,8.65625,,,37.91604232788086,,2.695977210998535,15.123215675354006,,,2.0360679626464844,64.25,12.674757957458494,,13.836874008178713,35.423789978027344,1133.7867431640625,33.32703018188477,,,4.32997989654541,1.8428322076797483,56.73526000976562,4.2426700592041025,13.924968719482422
